Word, Count
happy, 89
bill, 89
nine, 89
tents, 89
egg, 89
tower, 89
knowest, 89
labour, 89
wide, 88
walking, 88
waited, 88
bright, 88
draw, 88
reproach, 88
buy, 87
added, 87
burning, 87
piece, 87
usual, 87
wild, 87
scattered, 87
skeeter, 87
champions, 87
fury, 87
ruler, 87
feed, 87
pharisees, 87
remained, 86
shook, 86
continually, 86
vision, 86
line, 86
smoke, 86
plain, 86
garment, 86
edom, 86
vanity, 86
remembered, 85
thinking, 85
less, 85
scarlet, 85
tables, 85
greater, 85
consider, 85
false, 85
sold, 85
brake, 85
lived, 84
excellent, 84
rule, 84
strangers, 84
jehoshaphat, 84
daniel, 84
following, 83
months, 83
miss, 83
abroad, 83
pointing, 83
yelled, 83
branches, 83
abide, 83
shot, 82
perhaps, 82
pointed, 82
real, 82
pain, 82
aunt, 82
dad, 82
okay, 82
upward, 82
song, 82
tenth, 82
fail, 82
fulfilled, 82
trespass, 82
ill, 81
stairs, 81
sky, 81
escaped, 81
doesn, 81
immediately, 81
lead, 81
judges, 81
obey, 81
hearkened, 81
lambs, 81
heed, 81
atonement, 81
garden, 80
clear, 80
afterward, 80
tears, 80
writing, 80
herself, 80
goyle, 80
giving, 80
sacrifices, 80
flocks, 80
leg, 79
scar, 79
potion, 79
stars, 79
staff, 79
served, 79
waste, 79
raise, 79
troubled, 79
grave, 79
feared, 79
healed, 79
messengers, 79
bringeth, 79
foundation, 79
trillian, 79
journey, 78
finger, 78
path, 78
sorry, 78
named, 78
fair, 78
moon, 78
78, 78
thoughts, 78
pleasant, 78
testimony, 78
souls, 78
sware, 78
rulers, 78
amen, 78
laugh, 77
box, 77
flying, 77
close, 77
finally, 77
wave, 77
55, 77
listen, 77
appear, 77
cursed, 77
fought, 77
madam, 77
fifth, 77
ter, 77
rams, 77
pour, 77
rivers, 77
forsaken, 77
ago, 76
stupid, 76
dragon, 76
abomination, 76
villages, 76
passover, 76
abominations, 76
simon, 76
chair, 75
foolish, 75
possible, 75
dursleys, 75
awake, 75
creatures, 75
forgotten, 75
